Movie_Title,YR_Released,Rating,Num_Reviews,Movie_ID,Record,Runtime,Age_Movie
Code Name: K.O.Z.,2015,1.4,24623,tt4458206,Bottom 250 Movies,114.0,8
Saving Christmas,2014,1.5,12765,tt4009460,Bottom 250 Movies,80.0,9
Superbabies: Baby Geniuses 2,2004,1.6,26505,tt0270846,Bottom 250 Movies,88.0,19
Daniel the Wizard,2004,1.6,13295,tt0421051,Bottom 250 Movies,81.0,19
Manos: The Hands of Fate,1966,1.7,31808,tt0060666,Bottom 250 Movies,70.0,57
Pledge This!,2006,1.7,15836,tt0417056,Bottom 250 Movies,91.0,17
Dünyayi Kurtaran Adam'in Oglu,2006,1.8,14110,tt0808240,Bottom 250 Movies,110.0,17
Foodfight!,2012,1.8,5740,tt0249516,Bottom 250 Movies,91.0,11
Birdemic: Shock and Terror,2010,1.8,15919,tt1316037,Bottom 250 Movies,105.0,13
Álom.net,2009,1.9,8502,tt1309000,Bottom 250 Movies,,14
Titanic - La leggenda continua,2000,1.9,8421,tt0330994,Bottom 250 Movies,90.0,23
Disaster Movie,2008,1.9,77553,tt1213644,Bottom 250 Movies,87.0,15
Zombie Nation,2004,1.9,7730,tt0463392,Bottom 250 Movies,81.0,19
The Hottie & the Nottie,2008,1.9,34098,tt0804492,Bottom 250 Movies,91.0,15
Keloglan Karaprens'e Karsi,2006,1.9,8502,tt0470833,Bottom 250 Movies,105.0,17
From Justin to Kelly,2003,1.9,23920,tt0339034,Bottom 250 Movies,81.0,20
A Fox's Tale,2008,1.9,7953,tt0830861,Bottom 250 Movies,85.0,15
Ram Gopal Varma's Indian Flames,2007,1.9,6028,tt0473310,Bottom 250 Movies,171.0,16
Going Overboard,1989,2.0,10938,tt0096870,Bottom 250 Movies,99.0,34
Emret Komutanim: Sah Mat,2007,2.0,6354,tt0953989,Bottom 250 Movies,100.0,16
Attack of the Jurassic Shark,2012,2.0,2983,tt2071491,Bottom 250 Movies,75.0,11
